时间(s),X坐标(m),Y坐标(m)
542.3,-26.88007309,57.31865185
542.55,-27.98451527,57.98550321
542.8,-16.00330386,56.20315399
543.05,-25.08509937,56.01988603
543.3,-20.01453835,66.73999987
543.55,-27.45008611,58.05395604
543.8,-26.38781691,62.69003289
544.05,-22.63278229,58.95851386
544.3,-21.07449428,67.56122745
544.55,-25.91107253,57.92635358
544.8,-32.69194361,63.36513899
545.05,-24.63543198,53.84668134
545.3,-29.78793349,56.62535962
545.55,-27.16224981,56.86141238
545.8,-25.48374667,61.65112891
546.05,-31.95562333,57.2453794
546.3,-27.15814713,65.41321707
546.55,-34.828925,51.76732255
546.8,-36.24972912,55.53431835
547.05,-27.88228198,48.44131506
547.3,-30.6046552,57.09953235
547.55,-25.39997561,54.99298745
547.8,-33.49459807,58.23597966
548.05,-25.81013255,51.59642265
548.3,-26.47316643,53.32588962
548.55,-37.35518078,58.14603544
548.8,-24.03693978,60.29382368
549.05,-31.41723926,54.74736093
549.3,-29.0525657,59.94875557
549.55,-33.81361791,56.60753818
549.8,-39.18804566,54.16969187
550.05,-34.69890937,53.67485797
550.3,-33.52042398,55.95668356
550.55,-32.4521204,52.15624788
550.8,-37.07255268,49.30457039
551.05,-32.21500318,53.97295588
551.3,-40.42133579,52.10567497
551.55,-34.5334152,60.14723337
551.8,-32.82865658,56.40275718
552.05,-28.80181888,49.92536808
552.3,-32.50915145,52.79705098
552.55,-38.76971989,47.73486489
552.8,-33.3318129,50.47195391
553.05,-33.42955439,42.32096301
553.3,-33.94972606,49.16289097
553.55,-37.38940677,55.79440428
553.8,-39.38310463,53.42483309
554.05,-43.14744216,58.75328818
554.3,-34.05247053,56.4921147
554.55,-44.94369137,56.58402446
554.8,-26.29237216,47.41745036
555.05,-35.73233304,48.45472452
555.3,-41.9947085,47.60933951
555.55,-46.38143553,49.42423758
555.8,-45.28488148,46.69423242
556.05,-41.05954159,47.53115641
556.3,-36.75476798,51.02182329
556.55,-48.68513157,48.81001491
556.8,-42.25306021,45.86405166
557.05,-51.49680904,45.42492306
557.3,-42.57157154,48.15851778
557.55,-41.82361359,43.85819229
557.8,-46.0625848,40.64737354
558.05,-45.19363909,44.44407083
558.3,-48.22920151,34.77384851
558.55,-54.87269953,45.42248026
558.8,-52.62260125,45.64031555
559.05,-48.03393997,44.17326937
559.3,-48.39811355,39.6237779
559.55,-47.56694439,41.96844849
559.8,-55.3797389,31.03002266
560.05,-53.53507975,43.13723203
560.3,-45.76133215,35.68133683
560.55,-54.83590861,42.02459178
560.8,-58.77190507,37.45028899
561.05,-46.90695164,32.78296056
561.3,-53.82398998,38.71090677
561.55,-57.63806805,41.41393794
561.8,-52.40389614,32.92062296
562.05,-48.04947024,37.55267563
562.3,-51.78258846,29.45378941
562.55,-62.5167078,31.04200308
562.8,-57.93499368,34.77180763
563.05,-58.95111985,27.81659773
563.3,-56.138478,35.7013887
563.55,-55.95166154,37.06464512
563.8,-53.46300605,40.51116948
564.05,-53.0971207,26.38337136
564.3,-60.2221344,24.04892899
564.55,-53.16325682,30.43625289
564.8,-64.78040763,31.03749432
565.05,-58.55734431,30.97702713
565.3,-53.87325902,31.6085957
565.55,-57.48572752,27.02867901
565.8,-61.14826055,34.92693499
566.05,-56.7623769,26.66724474
566.3,-61.48586226,32.02248109
566.55,-51.62464838,23.51337038
566.8,-63.51747209,22.00946037
567.05,-62.86322592,28.68424981
567.3,-61.82838673,24.22404126
567.55,-58.48332443,17.70405626
567.8,-53.14953366,24.66354438
568.05,-61.32521299,23.37663321
568.3,-56.33919837,27.6897771
568.55,-68.51213785,24.50282586
568.8,-50.8042738,22.24673902
569.05,-61.29780795,20.78735053
569.3,-62.17533581,13.1643908
569.55,-62.69692634,23.75762953
569.8,-54.90782263,17.42472617
570.05,-64.09822175,15.73912598
570.3,-53.82347544,16.89004899
570.55,-58.90971296,15.90743862
570.8,-59.26978065,17.3616603
571.05,-67.7408262,18.34229807
571.3,-64.44516472,17.76844842
571.55,-63.18619205,5.416895752
571.8,-64.07260569,15.04247367
572.05,-64.23337307,12.63469672
572.3,-60.30075848,12.53130937
572.55,-62.70731094,16.66065263
