时间(s),X坐标(m),Y坐标(m)
494.6358000003,2.236400121,12.33272159
494.8358000003,-1.843924618,11.2401864
495.0358000003,4.995926364,13.45674829
495.2358000003,1.203168224,9.515363716
495.4358000003,-0.594081392,8.493011785
495.6358000003,0.007116382,12.63613861
495.8358000003,1.667066675,16.59901837
496.0358000003,0.022653126,19.05592191
496.2358000003,-2.584638409,17.04927165
496.4358000003,-3.949037967,16.05470916
496.6358000003,-1.232714457,14.94605697
496.8358000003,0.399676355,19.32125356
497.0358000003,0.970707224,19.83348549
497.2358000003,-1.060708552,18.41367431
497.4358000003,-0.65482566,16.26725426
497.6358000003,1.137585282,14.995617
497.8358000003,2.087633766,21.2989013
498.0358000003,0.124490699,24.23241771
498.2358000003,-4.636447968,16.37294271
498.4358000003,-3.480356292,19.50019351
498.6358000003,1.171213401,16.68606991
498.8358000003,1.525138298,16.38423864
499.0358000003,0.900858441,14.38807836
499.2358000003,-5.516092551,22.19948224
499.4358000003,-5.02395058,22.16337446
499.6358000003,6.236246681,24.93475856
499.8358000003,-4.866337739,24.05266379
500.0358000003,-5.222082285,22.58497462
500.2358000003,-2.661848788,30.08749037
500.4358000003,0.164904291,26.80151273
500.6358000003,-0.485467477,28.45647375
500.8358000003,-0.479353762,25.29382442
501.0358000003,-3.997896561,34.21742566
501.2358000003,-1.123711234,28.66851597
501.4358000003,-2.346131757,24.23179329
501.6358000003,-1.123521244,27.287979
501.8358000003,-3.008516829,33.09364509
502.0358000003,3.660775846,28.25395372
502.2358000003,-3.511303304,35.55773614
502.4358000003,-1.354705977,33.40910284
502.6358000003,-0.871597561,30.90930409
502.8358000003,-2.232794275,37.65094572
503.0358000003,-0.858394355,32.94573899
503.2358000003,0.488483132,36.09240535
503.4358000003,-4.194131031,37.9882713
503.6358000003,3.522072056,39.92549172
503.8358000003,-1.679029538,35.7811584
504.0358000003,3.969389736,39.89722777
504.2358000003,0.973736747,39.12970975
504.4358000003,2.500885489,41.30878561
504.6358000003,1.21551891,35.3368363
504.8358000003,4.693602237,36.74941789
505.0358000003,3.510629373,39.7558001
505.2358000003,1.156764136,45.27284157
505.4358000003,-3.326218843,40.59700125
505.6358000003,-1.84221424,39.31962801
505.8358000003,-0.218773905,45.11467813
506.0358000003,-1.816942908,45.56900713
506.2358000003,0.26690805,44.22576235
506.4358000003,2.613734097,47.08143419
506.6358000003,-2.413877779,44.82432251
506.8358000003,-2.157486916,41.15406396
507.0358000003,-0.493838716,43.16311057
507.2358000003,0.238667413,46.62962626
507.4358000003,-3.024182793,43.87625319
507.6358000003,-1.797829373,48.3768806
507.8358000003,1.479441926,48.97488696
508.0358000003,1.933125073,44.51668559
508.2358000003,1.531383606,49.55112492
508.4358000003,-1.344946947,48.04171404
508.6358000003,2.474164484,48.79412085
508.8358000003,1.234446798,44.53248466
509.0358000003,-4.789378669,49.31047017
509.2358000003,-2.498447765,49.75326807
509.4358000003,-0.374745264,52.39216606
509.6358000003,-3.102311817,48.80698717
509.8358000003,3.211316871,48.61782988
510.0358000003,4.381526472,52.2736014
510.2358000003,0.589172827,49.20215381
510.4358000003,-2.757152438,52.70497737
510.6358000003,-3.214317787,46.29655147
510.8358000003,-0.465556107,47.19841997
511.0358000003,1.712160145,44.92320743
511.2358000003,-4.853410943,47.43099138
511.4358000003,1.470171822,56.53851814
511.6358000003,3.923390361,56.21227393
511.8358000003,-0.740122432,50.95818709
512.0358000003,2.627778113,52.70087198
512.2358000003,2.344167396,54.26032687
512.4358000003,4.306550312,49.22780412
512.6358000003,-2.086697456,50.24123942
512.8358000003,-5.298840194,54.45100564
513.0358000003,-0.769692126,52.55805746
513.2358000003,0.830445894,55.27076406
513.4358000003,0.463496679,56.49000004
513.6358000003,-3.222860899,54.86934887
513.8358000003,-5.207676496,47.27861564
514.0358000003,-1.539391136,51.29438973
514.2358000003,5.691744313,55.54986421
514.4358000003,5.429261269,53.71304505
514.6358000003,-1.619023483,52.05575135
514.8358000003,-4.756256336,59.3472208
515.0358000003,2.487517448,55.23718288
515.2358000003,-1.416200488,55.14933069
515.4358000003,-0.933010401,55.25704271
515.6358000003,2.902736913,56.85029436
515.8358000003,-3.267209463,53.9783569
516.0358000003,-0.57823268,55.66528654
516.2358000003,-0.246809794,56.21705004
516.4358000003,1.562044762,59.74072541
516.6358000003,4.729016885,52.07939068
516.8358000003,0.122271768,61.50179011
517.0358000003,0.698666022,61.68481053
517.2358000003,1.485355052,59.39063522
517.4358000003,3.303488689,60.33966287
517.6358000003,-1.263210103,60.72946355
517.8358000003,0.453375447,56.01733551
518.0358000003,0.568586653,58.01571732
518.2358000003,1.280619183,53.99294046
518.4358000003,-1.542477122,59.71916204
518.6358000003,1.735740942,55.46629192
518.8358000003,3.015394224,60.30344036
519.0358000003,2.203221296,54.06080398
519.2358000003,0.15768084,57.17040661
519.4358000003,-0.960063928,61.32552073
519.6358000003,2.253916003,60.42802864
519.8358000003,1.14988676,61.16467621
520.0358000003,-0.563630378,62.0753043
520.2358000003,1.45880493,62.71596193
520.4358000003,-2.371916347,60.3255724
520.6358000003,-2.017285311,61.74259446
520.8358000003,-0.806405215,61.40779943
521.0358000003,1.423419018,61.51731192
521.2358000003,0.219126129,64.66060232
521.4358000003,-0.548182865,65.27297082
521.6358000003,0.695594738,62.6809536
521.8358000003,0.774075655,64.42820197
522.0358000003,0.050969886,67.23300788
522.2358000003,-1.956323648,65.1414267
522.4358000003,-1.899191309,65.60603449
522.6358000003,-4.396164025,60.63438059
522.8358000003,-3.106031908,61.36423346
523.0358000003,-0.471555331,61.88489331
523.2358000003,1.131820428,59.75750963
523.4358000003,-0.841420101,59.7740303
523.6358000003,-0.449905432,67.02459567
523.8358000003,-0.484853446,65.42074157
524.0358000003,-2.81275731,61.674964
524.2358000003,-4.43975604,60.72950885
524.4358000003,-3.528431465,63.06961246
524.6358000003,-5.234629331,61.6708552
524.8358000003,0.854726161,68.08375698
525.0358000003,-3.472782106,63.73363943
525.2358000003,-8.120750487,61.82032419
525.4358000003,-7.116001308,61.58291385
525.6358000003,-6.596967153,63.07509174
525.8358000003,-2.611125237,60.23574505
526.0358000003,-6.425992501,59.2904854
526.2358000003,-5.997983719,60.48831342
526.4358000003,-8.984816245,70.20843342
526.6358000003,-9.807878721,62.72615821
526.8358000003,1.042590954,61.62394064
527.0358000003,-3.846861956,62.89234489
527.2358000003,-2.98078828,57.04453446
527.4358000003,-4.008689377,60.4022583
527.6358000003,-9.632623149,62.63066687
527.8358000003,-9.967551628,61.48929687
528.0358000003,-5.108613965,60.66989112
528.2358000003,-6.027780461,63.19579609
528.4358000003,-9.506855082,66.18807239
528.6358000003,-11.09546017,58.75049791
528.8358000003,-4.457623603,59.92737205
529.0358000003,-9.678593032,63.0422074
529.2358000003,-4.713979417,65.40937874
529.4358000003,-13.02304595,60.47970626
529.6358000003,-10.39669606,65.21207785
529.8358000003,-10.62501612,60.07173967
530.0358000003,-9.670075332,60.80592466
530.2358000003,-12.50901276,63.08416167
530.4358000003,-14.77292076,63.53545671
530.6358000003,-12.39669074,57.97644664
530.8358000003,-14.7016479,66.87409284
531.0358000003,-11.44197698,63.94518121
531.2358000003,-8.919276908,64.15844057
531.4358000003,-13.45260824,63.44498339
531.6358000003,-10.41233224,66.72729795
531.8358000003,-18.53405531,63.08401294
532.0358000003,-13.01994318,64.22463942
532.2358000003,-7.703375992,61.87538216
532.4358000003,-11.73210489,62.81976129
532.6358000003,-11.62569573,63.87342591
532.8358000003,-11.46901105,58.88963289
533.0358000003,-12.07871185,67.83173578
533.2358000003,-15.03998735,61.94222499
533.4358000003,-14.99968179,62.07771916
533.6358000003,-13.70837959,56.92680453
533.8358000003,-18.28829986,61.510051
534.0358000003,-15.86137577,64.57851784
