date,wind_direction_10m_dominant,wind_speed_10m_mean,weather_code
2016-09-11 00:00:00+00:00,198.72224,5.929379,51.0
2016-09-12 00:00:00+00:00,141.53752,7.3546033,3.0
2016-09-13 00:00:00+00:00,126.08798,12.889702,3.0
2016-09-14 00:00:00+00:00,196.88222,9.470165,3.0
2016-09-15 00:00:00+00:00,190.36768,9.62452,51.0
2016-09-16 00:00:00+00:00,237.57243,15.024701,63.0
2016-09-17 00:00:00+00:00,308.61993,13.639433,3.0
2016-09-18 00:00:00+00:00,339.9192,13.8041935,51.0
2016-09-19 00:00:00+00:00,329.50754,9.907148,51.0
2016-09-20 00:00:00+00:00,1.7668381,6.603301,51.0
2016-09-21 00:00:00+00:00,114.676834,3.7976873,3.0
2016-09-22 00:00:00+00:00,167.03859,6.0597377,3.0
2016-09-23 00:00:00+00:00,59.601368,5.609176,3.0
2016-09-24 00:00:00+00:00,153.43503,11.893643,2.0
2016-09-25 00:00:00+00:00,242.20096,12.551506,51.0
2016-09-26 00:00:00+00:00,109.48622,6.186765,3.0
2016-09-27 00:00:00+00:00,179.2445,7.3878207,3.0
2016-09-28 00:00:00+00:00,232.1781,10.196785,51.0
2016-09-29 00:00:00+00:00,236.42114,14.27058,3.0
2016-09-30 00:00:00+00:00,219.75813,5.9759545,61.0
2016-10-01 00:00:00+00:00,233.85643,11.754341,53.0
2016-10-02 00:00:00+00:00,272.36682,13.667551,3.0
2016-10-03 00:00:00+00:00,21.774223,7.4751964,3.0
2016-10-04 00:00:00+00:00,80.91427,15.557712,1.0
2016-10-05 00:00:00+00:00,75.50201,19.500324,2.0
2016-10-06 00:00:00+00:00,56.309914,18.217516,3.0
2016-10-07 00:00:00+00:00,51.464043,13.364112,51.0
2016-10-08 00:00:00+00:00,20.65037,10.749535,2.0
2016-10-09 00:00:00+00:00,24.73951,6.8671465,3.0
2016-10-10 00:00:00+00:00,352.38873,6.966487,51.0
2016-10-11 00:00:00+00:00,31.342922,9.247057,3.0
2016-10-12 00:00:00+00:00,57.273323,12.261707,3.0
2016-10-13 00:00:00+00:00,69.0926,13.918018,53.0
2016-10-14 00:00:00+00:00,50.45931,7.0503235,55.0
2016-10-15 00:00:00+00:00,189.48334,15.025882,51.0
2016-10-16 00:00:00+00:00,174.18665,11.59807,53.0
2016-10-17 00:00:00+00:00,235.5584,8.561606,51.0
2016-10-18 00:00:00+00:00,255.39404,12.458165,51.0
2016-10-19 00:00:00+00:00,276.30954,12.781167,51.0
2016-10-20 00:00:00+00:00,308.61752,12.999261,51.0
2016-10-21 00:00:00+00:00,328.8243,8.389342,3.0
2016-10-22 00:00:00+00:00,69.362404,5.1895328,3.0
2016-10-23 00:00:00+00:00,76.51768,12.590813,61.0
2016-10-24 00:00:00+00:00,187.95746,4.6765585,53.0
2016-10-25 00:00:00+00:00,79.01943,4.65862,3.0
2016-10-26 00:00:00+00:00,348.506,6.132338,3.0
2016-10-27 00:00:00+00:00,312.64664,2.9444234,3.0
2016-10-28 00:00:00+00:00,25.596302,3.5019739,3.0
2016-10-29 00:00:00+00:00,66.04791,8.455352,3.0
2016-10-30 00:00:00+00:00,66.72784,10.827487,2.0
2016-10-31 00:00:00+00:00,71.59522,9.107934,1.0
2016-11-01 00:00:00+00:00,354.17374,5.4277425,3.0
2016-11-02 00:00:00+00:00,352.94223,8.1570425,3.0
2016-11-03 00:00:00+00:00,91.31185,6.4302115,2.0
2016-11-04 00:00:00+00:00,186.93561,8.831757,61.0
2016-11-05 00:00:00+00:00,309.1823,10.218559,53.0
2016-11-06 00:00:00+00:00,284.70947,9.353561,2.0
2016-11-07 00:00:00+00:00,254.51833,11.2954235,71.0
2016-11-08 00:00:00+00:00,259.1045,9.828114,51.0
2016-11-09 00:00:00+00:00,239.99992,21.610449,61.0
2016-11-10 00:00:00+00:00,255.73924,15.475821,53.0
2016-11-11 00:00:00+00:00,330.51007,13.124895,3.0
2016-11-12 00:00:00+00:00,158.06241,12.0661125,61.0
2016-11-13 00:00:00+00:00,341.4777,11.953556,51.0
2016-11-14 00:00:00+00:00,350.0594,6.2806,3.0
2016-11-15 00:00:00+00:00,227.34473,11.787304,53.0
2016-11-16 00:00:00+00:00,233.28786,16.43576,51.0
2016-11-17 00:00:00+00:00,223.9248,24.571823,51.0
2016-11-18 00:00:00+00:00,230.77946,24.204336,61.0
2016-11-19 00:00:00+00:00,208.02798,19.07992,51.0
2016-11-20 00:00:00+00:00,196.81409,26.99445,61.0
2016-11-21 00:00:00+00:00,176.76807,22.036137,55.0
2016-11-22 00:00:00+00:00,183.24768,14.662535,51.0
2016-11-23 00:00:00+00:00,49.742455,10.027547,55.0
2016-11-24 00:00:00+00:00,50.770504,14.46291,51.0
2016-11-25 00:00:00+00:00,58.76658,15.378903,3.0
2016-11-26 00:00:00+00:00,45.866497,6.3569,3.0
2016-11-27 00:00:00+00:00,32.58454,13.47736,3.0
2016-11-28 00:00:00+00:00,53.926956,19.49547,2.0
2016-11-29 00:00:00+00:00,66.87651,13.585989,0.0
2016-11-30 00:00:00+00:00,68.19857,4.0343533,0.0
2016-12-01 00:00:00+00:00,295.53406,5.8730106,0.0
2016-12-02 00:00:00+00:00,23.089321,7.012819,3.0
2016-12-03 00:00:00+00:00,60.74048,14.138961,3.0
2016-12-04 00:00:00+00:00,86.41829,9.977296,0.0
2016-12-05 00:00:00+00:00,119.00934,7.713526,1.0
